id_appel_offre,titre,description,categorie_marche,secteur,organisme_emetteur,pays,region,ville,date_publication,date_limite,date_resultat,budget_estime,soumissionnaires,montants_soumis,soumissionnaire_gagnant,montant_gagnant,montant_moyen,ecart_montant_vs_budget,delai_execution,type_procédure,critere_attribution,nombre_soumissionnaires,historique_gagnant_dans_les_3_derniers_ao,nombre_ao_gagnes_par_gagnant,experience_gagnant,notation_technique_gagnant,statut_ao,motif_annulation
11,Appel d'offre pour fournitures scolaires à Rabat,Marché public concernant le secteur fournitures scolaires dans la région de Casablanca-Settat.,Fournitures,Fournitures scolaires,Ministère de la Santé,Maroc,Casablanca-Settat,Rabat,2023-03-24,2023-04-21,2023-05-11,3386388,"['TGCC', 'INGEMA', 'Novec']","[3633864.9508360033, 3793001.877502678, 3794115.342653834]",INGEMA,3793001.877502678,3740327.39,0.1201,175,Gré à gré,Note technique et prix,3,Oui,10,18,100,Annulé,
12,Appel d'offre pour btp à Agadir,Marché public concernant le secteur btp dans la région de Oriental.,Services,BTP,Ministère de l’Équipement,Maroc,Oriental,Agadir,2024-05-05,2024-05-21,2024-06-08,4012006,"['INGEMA', 'TGCC']","[4614019.941631172, 4768735.290135942]",TGCC,4768735.290135942,4691377.62,0.1886,118,Gré à gré,Meilleure offre économiquement,2,Non,9,13,83,Annulé,Non-conformité des offres
13,Appel d'offre pour transport à Tanger,Marché public concernant le secteur transport dans la région de Rabat-Salé-Kénitra.,Fournitures,Transport,ONCF,Maroc,Rabat-Salé-Kénitra,Tanger,2024-02-21,2024-03-13,2024-03-21,2401120,"['Jet Contractors', 'INGEMA', 'Novec', 'SOMAGEC', 'SOGEA', 'TGCC']","[2188857.060585215, 2228501.095594903, 2273564.4425910283, 2330920.5376779106, 2421864.633395144, 2530557.6601717738]",SOMAGEC,2330920.5376779106,2329044.24,-0.0292,77,Appel d’offres restreint,Prix seul,6,Oui,15,13,70,Attribué,
14,Appel d'offre pour énergie à Casablanca,Marché public concernant le secteur énergie dans la région de Tanger-Tétouan-Al Hoceïma.,Travaux,Énergie,CHU Casablanca,Maroc,Tanger-Tétouan-Al Hoceïma,Casablanca,2025-05-15,2025-05-25,2025-05-30,1829517,"['SOGEA', 'Novec', 'TGCC', 'SOMAGEC', 'Jet Contractors']","[1706497.625638477, 1750574.0414345774, 1879723.1372972142, 1987288.4137042316, 1994987.2588046351]",Jet Contractors,1994987.2588046351,1863814.1,0.0904,57,Gré à gré,Meilleure offre économiquement,5,Oui,0,11,89,Sans suite,
15,Appel d'offre pour médical à Oujda,Marché public concernant le secteur médical dans la région de Souss-Massa.,Fournitures,Médical,DGSN,Maroc,Souss-Massa,Oujda,2023-10-11,2023-11-19,2023-11-29,4766143,"['Novec', 'Jet Contractors', 'TGCC', 'INGEMA']","[5092668.945728161, 5159184.679466843, 5242699.39635407, 5652164.143603155]",Novec,5092668.945728161,5286679.29,0.0685,69,Appel d’offres ouvert,Prix seul,4,Oui,3,1,96,Attribué,
16,Appel d'offre pour médical à Rabat,Marché public concernant le secteur médical dans la région de Fès-Meknès.,Services,Médical,Ministère de la Santé,Maroc,Fès-Meknès,Rabat,2023-04-04,2023-05-08,2023-05-21,5764972,"['SOMAGEC', 'TGCC', 'Jet Contractors']","[5795515.30236482, 6083766.827641521, 6201980.039514943]",Jet Contractors,6201980.039514943,6027087.39,0.0758,113,Appel d’offres restreint,Prix seul,3,Oui,11,12,92,Sans suite,Non-conformité des offres
17,Appel d'offre pour médical à Casablanca,Marché public concernant le secteur médical dans la région de Rabat-Salé-Kénitra.,Services,Médical,ONEE,Maroc,Rabat-Salé-Kénitra,Casablanca,2025-05-12,2025-05-29,2025-06-15,5328267,"['SOMAGEC', 'Novec', 'SOGEA', 'INGEMA', 'Jet Contractors']","[5642671.374067644, 5692467.066043908, 5725311.770872891, 5928664.3090811, 6185231.668947121]",Jet Contractors,6185231.668947121,5834869.24,0.1608,161,Gré à gré,Prix seul,5,Oui,0,4,77,Sans suite,
18,Appel d'offre pour médical à Agadir,Marché public concernant le secteur médical dans la région de Rabat-Salé-Kénitra.,Fournitures,Médical,Ministère de l’Équipement,Maroc,Rabat-Salé-Kénitra,Agadir,2024-05-31,2024-07-24,2024-08-09,8964166,"['Novec', 'TGCC', 'SOMAGEC', 'Jet Contractors', 'SOGEA', 'INGEMA']","[8237512.413364209, 8537798.688091492, 9432159.63002459, 9715992.418673532, 9967271.38923126, 10149347.409432983]",SOGEA,9967271.38923126,9340013.66,0.1119,324,Gré à gré,Meilleure offre économiquement,6,Non,11,3,82,Sans suite,Non-conformité des offres
19,Appel d'offre pour informatique à Oujda,Marché public concernant le secteur informatique dans la région de Rabat-Salé-Kénitra.,Fournitures,Informatique,ONCF,Maroc,Rabat-Salé-Kénitra,Oujda,2023-02-23,2023-03-22,2023-03-30,8124951,"['INGEMA', 'Novec', 'TGCC', 'SOMAGEC', 'SOGEA', 'Jet Contractors']","[7943283.651532966, 8432192.849416008, 9109478.815325543, 9397158.553703114, 9545337.881611958, 9703016.679517379]",INGEMA,7943283.651532966,9021744.74,-0.0224,258,Appel d’offres ouvert,Prix seul,6,Non,10,4,100,Annulé,
20,Appel d'offre pour énergie à Oujda,Marché public concernant le secteur énergie dans la région de Tanger-Tétouan-Al Hoceïma.,Fournitures,Énergie,ONEE,Maroc,Tanger-Tétouan-Al Hoceïma,Oujda,2024-10-15,2024-12-05,2024-12-16,7042254,"['TGCC', 'INGEMA', 'SOMAGEC', 'Novec']","[6822614.928338046, 7737569.791813475, 7834949.612268117, 8186055.21134937]",INGEMA,7737569.791813475,7645297.39,0.0987,105,Appel d’offres ouvert,Meilleure offre économiquement,4,Non,7,11,93,Annulé,Manque de budget
21,Appel d'offre pour énergie à Fès,Marché public concernant le secteur énergie dans la région de Tanger-Tétouan-Al Hoceïma.,Services,Énergie,ONEE,Maroc,Tanger-Tétouan-Al Hoceïma,Fès,2024-02-18,2024-03-26,2024-03-31,1868403,"['TGCC', 'INGEMA', 'SOGEA']","[1840565.817495757, 1935355.1311099597, 2190911.3274335633]",INGEMA,1935355.1311099597,1988944.09,0.0358,314,Appel d’offres ouvert,Note technique et prix,3,Oui,6,16,76,Attribué,
22,Appel d'offre pour transport à Fès,Marché public concernant le secteur transport dans la région de Souss-Massa.,Fournitures,Transport,ONEE,Maroc,Souss-Massa,Fès,2023-07-21,2023-09-03,2023-09-19,6985791,"['SOMAGEC', 'TGCC', 'Novec', 'Jet Contractors', 'INGEMA']","[6960970.77985004, 7538029.097904019, 8262865.306562761, 8307699.15954198, 8347515.015692017]",INGEMA,8347515.015692017,7883415.87,0.1949,170,Appel d’offres ouvert,Prix seul,5,Oui,12,5,95,Attribué,
23,Appel d'offre pour btp à Oujda,Marché public concernant le secteur btp dans la région de Souss-Massa.,Services,BTP,ONCF,Maroc,Souss-Massa,Oujda,2024-03-16,2024-04-08,2024-04-17,4788088,"['Novec', 'TGCC', 'Jet Contractors', 'INGEMA', 'SOGEA', 'SOMAGEC']","[4492125.3025480695, 4518339.683752791, 4995342.348062722, 5171281.061154103, 5225009.314113157, 5351122.445930266]",TGCC,4518339.683752791,4958870.03,-0.0563,300,Gré à gré,Meilleure offre économiquement,6,Non,12,8,87,Attribué,
24,Appel d'offre pour énergie à Casablanca,Marché public concernant le secteur énergie dans la région de Casablanca-Settat.,Services,Énergie,CHU Casablanca,Maroc,Casablanca-Settat,Casablanca,2023-06-05,2023-07-28,2023-08-09,7251666,"['SOGEA', 'SOMAGEC', 'Novec', 'Jet Contractors']","[6996434.148499519, 7664671.361615298, 8067932.298661231, 8301213.736055304]",SOGEA,6996434.148499519,7757562.89,-0.0352,276,Appel d’offres ouvert,Note technique et prix,4,Oui,3,12,81,Annulé,Non-conformité des offres
25,Appel d'offre pour btp à Fès,Marché public concernant le secteur btp dans la région de Fès-Meknès.,Travaux,BTP,ONEE,Maroc,Fès-Meknès,Fès,2023-04-21,2023-06-11,2023-06-27,5096440,"['SOMAGEC', 'TGCC', 'INGEMA', 'Novec', 'SOGEA', 'Jet Contractors']","[4867604.66529029, 4913668.265811188, 5021903.420992106, 5521706.185680398, 5901951.5525098555, 6014531.138500166]",TGCC,4913668.265811188,5373560.87,-0.0359,308,Appel d’offres ouvert,Note technique et prix,6,Oui,15,15,90,Annulé,Non-conformité des offres
26,Appel d'offre pour fournitures scolaires à Tanger,Marché public concernant le secteur fournitures scolaires dans la région de Souss-Massa.,Travaux,Fournitures scolaires,ONCF,Maroc,Souss-Massa,Tanger,2023-10-28,2023-12-18,2023-12-25,7578773,"['INGEMA', 'Novec', 'TGCC', 'Jet Contractors', 'SOGEA', 'SOMAGEC']","[7104786.417418639, 7630838.031735209, 7918961.463307594, 7974083.641083176, 8021375.030382729, 8428852.213374019]",Novec,7630838.031735209,7846482.8,0.0069,40,Gré à gré,Note technique et prix,6,Oui,4,11,60,Annulé,
27,Appel d'offre pour fournitures scolaires à Oujda,Marché public concernant le secteur fournitures scolaires dans la région de Rabat-Salé-Kénitra.,Travaux,Fournitures scolaires,ONEE,Maroc,Rabat-Salé-Kénitra,Oujda,2023-07-20,2023-07-31,2023-08-10,6727496,"['TGCC', 'SOGEA', 'INGEMA']","[6190567.403380824, 6926372.14907749, 7471111.662220481]",SOGEA,6926372.14907749,6862683.74,0.0296,149,Appel d’offres ouvert,Meilleure offre économiquement,3,Non,7,4,70,Attribué,
28,Appel d'offre pour énergie à Tanger,Marché public concernant le secteur énergie dans la région de Oriental.,Fournitures,Énergie,DGSN,Maroc,Oriental,Tanger,2023-11-24,2024-01-23,2024-02-11,3260739,"['Jet Contractors', 'SOGEA', 'Novec', 'TGCC']","[2970392.9401543573, 3243887.414459092, 3296403.0356362313, 3866698.7859084154]",TGCC,3866698.7859084154,3344345.54,0.1858,182,Appel d’offres restreint,Note technique et prix,4,Oui,7,10,64,Attribué,
29,Appel d'offre pour médical à Agadir,Marché public concernant le secteur médical dans la région de Rabat-Salé-Kénitra.,Fournitures,Médical,ONEE,Maroc,Rabat-Salé-Kénitra,Agadir,2023-09-24,2023-10-28,2023-11-04,5319447,"['INGEMA', 'SOGEA', 'SOMAGEC']","[4794875.000173234, 6044004.880650206, 6308083.259715026]",INGEMA,4794875.000173234,5715654.38,-0.0986,363,Appel d’offres restreint,Meilleure offre économiquement,3,Oui,14,8,95,Annulé,
30,Appel d'offre pour btp à Oujda,Marché public concernant le secteur btp dans la région de Casablanca-Settat.,Fournitures,BTP,Ministère de la Santé,Maroc,Casablanca-Settat,Oujda,2025-04-15,2025-04-28,2025-05-06,5672638,"['Novec', 'TGCC', 'INGEMA', 'Jet Contractors', 'SOGEA']","[5763416.082813815, 5871670.357802824, 6034375.997215692, 6112928.990762578, 6332853.253776875]",INGEMA,6034375.997215692,6023048.94,0.0638,78,Gré à gré,Note technique et prix,5,Non,13,1,77,Annulé,Manque de budget
31,Appel d'offre pour transport à Agadir,Marché public concernant le secteur transport dans la région de Casablanca-Settat.,Fournitures,Transport,DGSN,Maroc,Casablanca-Settat,Agadir,2024-12-23,2025-02-03,2025-02-15,5565959,"['SOMAGEC', 'Novec', 'TGCC', 'INGEMA']","[5300547.404014575, 5613666.610986198, 6331289.093672744, 6644334.629280258]",Novec,5613666.610986198,5972459.43,0.0086,340,Appel d’offres ouvert,Prix seul,4,Non,13,1,60,Sans suite,
32,Appel d'offre pour informatique à Agadir,Marché public concernant le secteur informatique dans la région de Oriental.,Fournitures,Informatique,DGSN,Maroc,Oriental,Agadir,2023-01-03,2023-02-08,2023-02-13,9516441,"['INGEMA', 'SOGEA', 'TGCC', 'Jet Contractors', 'SOMAGEC']","[8799175.805201828, 9289113.92079673, 9683766.528132765, 10601594.290400457, 10844928.413731666]",SOGEA,9289113.92079673,9843715.79,-0.0239,252,Appel d’offres restreint,Note technique et prix,5,Oui,1,2,91,Annulé,Manque de budget
33,Appel d'offre pour fournitures scolaires à Tanger,Marché public concernant le secteur fournitures scolaires dans la région de Casablanca-Settat.,Services,Fournitures scolaires,Ministère de la Santé,Maroc,Casablanca-Settat,Tanger,2023-10-24,2023-11-05,2023-11-16,8144484,"['SOGEA', 'SOMAGEC', 'INGEMA']","[7786292.482269087, 8054474.144995982, 9425244.871479204]",INGEMA,9425244.871479204,8422003.83,0.1573,40,Appel d’offres restreint,Note technique et prix,3,Non,15,16,85,Sans suite,
34,Appel d'offre pour transport à Rabat,Marché public concernant le secteur transport dans la région de Fès-Meknès.,Fournitures,Transport,DGSN,Maroc,Fès-Meknès,Rabat,2023-09-26,2023-11-07,2023-11-27,4871946,"['SOGEA', 'TGCC', 'Novec', 'INGEMA', 'SOMAGEC', 'Jet Contractors']","[4506397.278942875, 4653467.805512769, 4878812.359848635, 5001802.532781057, 5069503.117754128, 5701784.292411281]",SOMAGEC,5069503.117754128,4968627.9,0.0405,192,Appel d’offres ouvert,Prix seul,6,Non,2,17,60,Annulé,Manque de budget
35,Appel d'offre pour fournitures scolaires à Casablanca,Marché public concernant le secteur fournitures scolaires dans la région de Souss-Massa.,Travaux,Fournitures scolaires,Ministère de l’Équipement,Maroc,Souss-Massa,Casablanca,2025-04-05,2025-04-15,2025-05-01,1571145,"['SOMAGEC', 'INGEMA', 'TGCC', 'Novec', 'Jet Contractors', 'SOGEA']","[1425984.3754972983, 1519433.8219730295, 1572602.0141804323, 1623230.4098279523, 1802749.3432544065, 1882145.2579022553]",Jet Contractors,1802749.3432544065,1637690.87,0.1474,228,Appel d’offres ouvert,Prix seul,6,Oui,1,7,96,Attribué,
36,Appel d'offre pour btp à Agadir,Marché public concernant le secteur btp dans la région de Tanger-Tétouan-Al Hoceïma.,Services,BTP,Ministère de la Santé,Maroc,Tanger-Tétouan-Al Hoceïma,Agadir,2024-05-08,2024-05-27,2024-06-11,5765912,"['SOMAGEC', 'Jet Contractors', 'TGCC', 'INGEMA', 'Novec']","[5243779.476545523, 5577470.209042784, 5656328.484499387, 5962495.2204973195, 5967412.015767956]",Jet Contractors,5577470.209042784,5681497.08,-0.0327,92,Appel d’offres ouvert,Meilleure offre économiquement,5,Non,15,2,88,Annulé,Non-conformité des offres
37,Appel d'offre pour énergie à Casablanca,Marché public concernant le secteur énergie dans la région de Souss-Massa.,Travaux,Énergie,CHU Casablanca,Maroc,Souss-Massa,Casablanca,2024-01-05,2024-02-25,2024-03-09,5424202,"['TGCC', 'INGEMA', 'SOGEA', 'SOMAGEC', 'Novec']","[5027864.743944692, 5141503.830715267, 5191601.615980515, 6262757.900781861, 6344933.564015223]",SOGEA,5191601.615980515,5593732.33,-0.0429,38,Appel d’offres ouvert,Meilleure offre économiquement,5,Non,13,2,61,Annulé,Non-conformité des offres
38,Appel d'offre pour énergie à Oujda,Marché public concernant le secteur énergie dans la région de Oriental.,Fournitures,Énergie,CHU Casablanca,Maroc,Oriental,Oujda,2023-02-01,2023-03-27,2023-04-15,8380777,"['TGCC', 'INGEMA', 'Jet Contractors']","[8310588.093091904, 8422341.536036054, 9489130.136046128]",INGEMA,8422341.536036054,8740686.59,0.005,195,Gré à gré,Prix seul,3,Non,10,19,93,Annulé,
39,Appel d'offre pour énergie à Fès,Marché public concernant le secteur énergie dans la région de Souss-Massa.,Fournitures,Énergie,ONCF,Maroc,Souss-Massa,Fès,2024-09-24,2024-10-15,2024-10-30,1533839,"['Novec', 'INGEMA', 'TGCC']","[1579795.106354737, 1622286.900118358, 1650560.5005001377]",TGCC,1650560.5005001377,1617547.5,0.0761,132,Appel d’offres restreint,Note technique et prix,3,Oui,5,11,95,Sans suite,
40,Appel d'offre pour btp à Casablanca,Marché public concernant le secteur btp dans la région de Oriental.,Travaux,BTP,Ministère de la Santé,Maroc,Oriental,Casablanca,2023-09-03,2023-09-19,2023-10-04,2618617,"['Novec', 'INGEMA', 'SOGEA', 'TGCC', 'SOMAGEC', 'Jet Contractors']","[2412594.194182236, 2498836.8783056596, 2560511.6824936057, 2981451.3173451237, 2988589.8372327383, 3088019.785211975]",Jet Contractors,3088019.785211975,2755000.62,0.1793,188,Gré à gré,Meilleure offre économiquement,6,Oui,0,18,61,Attribué,
41,Appel d'offre pour énergie à Agadir,Marché public concernant le secteur énergie dans la région de Tanger-Tétouan-Al Hoceïma.,Travaux,Énergie,Ministère de l’Équipement,Maroc,Tanger-Tétouan-Al Hoceïma,Agadir,2024-10-27,2024-12-09,2024-12-29,9487799,"['Novec', 'Jet Contractors', 'INGEMA', 'TGCC']","[9337619.335603602, 9507969.077812437, 9562596.873137387, 10244775.898061326]",Novec,9337619.335603602,9663240.3,-0.0158,332,Gré à gré,Meilleure offre économiquement,4,Oui,10,13,76,Sans suite,
42,Appel d'offre pour informatique à Casablanca,Marché public concernant le secteur informatique dans la région de Rabat-Salé-Kénitra.,Travaux,Informatique,ONEE,Maroc,Rabat-Salé-Kénitra,Casablanca,2023-08-24,2023-10-05,2023-10-21,6239541,"['INGEMA', 'SOGEA']","[6668749.752606357, 7332562.502472885]",SOGEA,7332562.502472885,7000656.13,0.1752,145,Gré à gré,Note technique et prix,2,Non,2,2,99,Sans suite,
43,Appel d'offre pour btp à Fès,Marché public concernant le secteur btp dans la région de Casablanca-Settat.,Services,BTP,Ministère de l’Équipement,Maroc,Casablanca-Settat,Fès,2025-03-08,2025-04-19,2025-05-04,1955491,"['Jet Contractors', 'SOMAGEC']","[1920765.241385852, 1977495.722817346]",Jet Contractors,1920765.241385852,1949130.48,-0.0178,197,Appel d’offres ouvert,Prix seul,2,Oui,8,13,89,Attribué,
44,Appel d'offre pour fournitures scolaires à Rabat,Marché public concernant le secteur fournitures scolaires dans la région de Tanger-Tétouan-Al Hoceïma.,Fournitures,Fournitures scolaires,Ministère de l’Équipement,Maroc,Tanger-Tétouan-Al Hoceïma,Rabat,2024-11-18,2024-12-21,2025-01-10,1136687,"['SOMAGEC', 'INGEMA', 'SOGEA', 'Jet Contractors', 'TGCC', 'Novec']","[1070987.9903872446, 1108866.7274480767, 1149212.6364182504, 1263719.543632091, 1292769.3378405196, 1352844.3190347317]",Jet Contractors,1263719.543632091,1206400.09,0.1118,52,Gré à gré,Prix seul,6,Non,7,10,85,Annulé,Manque de budget
45,Appel d'offre pour btp à Oujda,Marché public concernant le secteur btp dans la région de Rabat-Salé-Kénitra.,Travaux,BTP,CHU Casablanca,Maroc,Rabat-Salé-Kénitra,Oujda,2025-04-03,2025-04-27,2025-05-15,9740353,"['SOMAGEC', 'INGEMA', 'TGCC', 'SOGEA']","[9688307.165805086, 10085272.236081354, 10982022.290609512, 11383867.498707233]",INGEMA,10085272.236081354,10534867.3,0.0354,284,Appel d’offres ouvert,Prix seul,4,Oui,8,4,79,Attribué,
46,Appel d'offre pour informatique à Oujda,Marché public concernant le secteur informatique dans la région de Souss-Massa.,Travaux,Informatique,DGSN,Maroc,Souss-Massa,Oujda,2024-01-12,2024-02-29,2024-03-05,5731146,"['Jet Contractors', 'INGEMA', 'SOGEA', 'TGCC', 'Novec']","[5365580.567135326, 5458642.024864683, 5984479.9380561365, 6607766.149502993, 6747962.141235273]",SOGEA,5984479.9380561365,6032886.16,0.0442,168,Gré à gré,Meilleure offre économiquement,5,Non,12,19,73,Annulé,Non-conformité des offres
47,Appel d'offre pour informatique à Tanger,Marché public concernant le secteur informatique dans la région de Rabat-Salé-Kénitra.,Services,Informatique,ONEE,Maroc,Rabat-Salé-Kénitra,Tanger,2023-06-25,2023-07-16,2023-07-23,8059267,"['INGEMA', 'SOMAGEC', 'Novec', 'SOGEA', 'Jet Contractors', 'TGCC']","[7594789.847284176, 8346763.0601008395, 8943883.564116705, 9064148.104061853, 9092531.78849858, 9206239.271115102]",SOMAGEC,8346763.0601008395,8708059.27,0.0357,174,Appel d’offres ouvert,Meilleure offre économiquement,6,Oui,8,4,92,Sans suite,Manque de budget
48,Appel d'offre pour btp à Oujda,Marché public concernant le secteur btp dans la région de Fès-Meknès.,Fournitures,BTP,ONEE,Maroc,Fès-Meknès,Oujda,2024-06-09,2024-07-02,2024-07-15,2969604,"['SOMAGEC', 'Novec', 'SOGEA']","[3357133.4474856346, 3410302.666651137, 3542791.551758229]",Novec,3410302.666651137,3436742.56,0.1484,279,Gré à gré,Prix seul,3,Non,6,12,70,Attribué,
49,Appel d'offre pour énergie à Tanger,Marché public concernant le secteur énergie dans la région de Fès-Meknès.,Fournitures,Énergie,CHU Casablanca,Maroc,Fès-Meknès,Tanger,2025-04-15,2025-06-08,2025-06-14,9513910,"['SOGEA', 'INGEMA', 'TGCC', 'Novec', 'SOMAGEC']","[8696914.26736036, 9366893.421616284, 10424052.265293792, 10572948.858247764, 10679975.20864834]",TGCC,10424052.265293792,9948156.8,0.0957,194,Gré à gré,Note technique et prix,5,Oui,7,13,80,Sans suite,Non-conformité des offres
50,Appel d'offre pour médical à Tanger,Marché public concernant le secteur médical dans la région de Oriental.,Travaux,Médical,DGSN,Maroc,Oriental,Tanger,2023-04-16,2023-05-23,2023-06-09,4485240,"['SOGEA', 'Jet Contractors']","[4362249.884159456, 5193967.545630246]",SOGEA,4362249.884159456,4778108.71,-0.0274,44,Appel d’offres ouvert,Note technique et prix,2,Non,12,16,67,Annulé,Non-conformité des offres
51,Appel d'offre pour btp à Casablanca,Marché public concernant le secteur btp dans la région de Fès-Meknès.,Fournitures,BTP,DGSN,Maroc,Fès-Meknès,Casablanca,2024-10-05,2024-10-28,2024-11-09,2070945,"['SOMAGEC', 'TGCC', 'Novec', 'SOGEA', 'INGEMA']","[1923500.4517645375, 1940817.1138111467, 2056371.859086886, 2268430.8564075166, 2444267.275063408]",INGEMA,2444267.275063408,2126677.51,0.1803,166,Gré à gré,Meilleure offre économiquement,5,Oui,7,10,60,Attribué,
52,Appel d'offre pour énergie à Oujda,Marché public concernant le secteur énergie dans la région de Tanger-Tétouan-Al Hoceïma.,Fournitures,Énergie,ONCF,Maroc,Tanger-Tétouan-Al Hoceïma,Oujda,2024-03-21,2024-05-11,2024-05-24,8936422,"['TGCC', 'SOMAGEC', 'SOGEA', 'Jet Contractors', 'INGEMA', 'Novec']","[8097819.364264805, 8180427.82924979, 8251356.635296385, 8385466.099104237, 9976144.95525778, 10184600.866203437]",Novec,10184600.866203437,8845969.29,0.1397,82,Gré à gré,Meilleure offre économiquement,6,Non,10,5,62,Sans suite,Manque de budget
