id_appel_offre,titre,description,categorie_marche,secteur,organisme_emetteur,pays,region,ville,date_publication,date_limite,date_resultat,budget_estime,soumissionnaires,montants_soumis,soumissionnaire_gagnant,montant_gagnant,montant_moyen,ecart_montant_vs_budget,delai_execution,type_procedure,critere_attribution,nombre_soumissionnaires,historique_gagnant_dans_les_3_derniers_ao,nombre_ao_gagnes_par_gagnant,experience_gagnant,notation_technique_gagnant,statut_ao,motif_annulation,notes_techniques_non_gagnants,capacites_financieres,experiences_non_gagnants,historiques_non_gagnants,complexite_projet,exigences_techniques_detaillees,localisations_soumissionnaires,tailles_entreprises,contexte_economique,poids_criteres_attribution,historique_ao_similaires,details_annulations
415,Appel d'offre pour environnement à Casablanca,Marché public concernant le secteur environnement pour Agence Nationale de la Conservation Foncière,Services,Environnement,Agence Nationale de la Conservation Foncière,Maroc,Dakhla-Oued Ed-Dahab,Casablanca,2025-07-13,2025-09-08,2025-09-22,24580001 DH,LAFARGE; INGEMA; SAHAM; MICROSOFT MAROC; DELTA HOLDING; TECHNO PARK,22292357.11; 22288584.91; 19969996.11; 22697041.33; 20551205.81; 25497446.44,LAFARGE,22292357.11 DH,22216105.29 DH,-0.0931,287,Appel d'offres ouvert,Critères multiples,6,Oui,3,13,94,Annulé,Contraintes réglementaires,87; 71; 76; 81; 100,356303948; 124167008; 147113446; 474204767; 103989043; 376789681,17; 13; 20; 24; 12,4; 14; 8; 15; 9,Très élevée,"Normes ISO 14001, Technologies innovantes",Meknès; Safi; Agadir; Fès; Nador; Fès,PME; Grande entreprise; PME; Moyenne entreprise; ETI; ETI,"Inflation: 3.7%, Croissance: 2.4%","Technique: 73%, Prix: 27%",Derniers 12 mois: 13 AO similaires,Taux d'annulation secteur: 18%
416,Appel d'offre pour maintenance à Kenitra,Marché public concernant le secteur maintenance pour Ministère de la Santé,Services,Maintenance,Ministère de la Santé,Maroc,Laâyoune-Sakia El Hamra,Kenitra,2025-07-13,2025-08-06,2025-08-20,3136194 DH,DELL MAROC; INGEMA; LYDEC; VINCI,3493161.64; 2894443.4; 2856990.16; 3155315.96,INGEMA,2894443.4 DH,3099977.79 DH,-0.0771,181,Appel d'offres restreint,Rapport qualité-prix,4,Non,3,16,94,Attribué,Non applicable,100; 78; 98,64771772; 463334652; 219226034; 361072374,3; 4; 7,14; 15; 6,Moyenne,"Normes ISO 45001, Technologies innovantes",Oujda; Casablanca; Meknès; Temara,ETI; PME; PME; Grande entreprise,"Inflation: 3.0%, Croissance: 2.6%","Technique: 63%, Prix: 37%",Derniers 12 mois: 33 AO similaires,Taux d'annulation secteur: 7%
417,Appel d'offre pour conseil à Temara,Marché public concernant le secteur conseil pour Caisse Nationale de Sécurité Sociale,Fournitures,Conseil,Caisse Nationale de Sécurité Sociale,Maroc,Guelmim-Oued Noun,Temara,2025-07-13,2025-08-21,2025-08-31,47301255 DH,HP MAROC; COSUMAR; DELTA HOLDING; ORANGE MAROC; SOGEA; ATLAS HOSPITALITY; CAPGEMINI MAROC,39785821.69; 54533476.33; 52849022.62; 46613920.05; 45384452.84; 40534111.16; 49985010.7,ATLAS HOSPITALITY,40534111.16 DH,47097973.63 DH,-0.1431,146,Gré à gré,Rapport qualité-prix,7,Oui,11,12,98,Attribué,Non applicable,65; 99; 87; 69; 66; 66,150062384; 29302672; 134700499; 98018412; 127884773; 26072763; 129361720,18; 3; 18; 22; 11; 17,14; 8; 1; 14; 0; 6,Moyenne,"Normes ISO 45001, Technologies modernes",Meknès; Beni Mellal; Casablanca; El Jadida; Marrakech; El Jadida; Tétouan,Moyenne entreprise; PME; Moyenne entreprise; Grande entreprise; Grande entreprise; Moyenne entreprise; ETI,"Inflation: 3.0%, Croissance: 3.9%","Technique: 64%, Prix: 36%",Derniers 12 mois: 34 AO similaires,Taux d'annulation secteur: 13%
418,Appel d'offre pour énergie à Berrechid,Marché public concernant le secteur énergie pour Ministère de la Justice,Travaux,Énergie,Ministère de la Justice,Maroc,Guelmim-Oued Noun,Berrechid,2025-07-13,2025-09-04,2025-09-12,7128699 DH,ATLAS HOSPITALITY; LYDEC; LAFARGE; MAJOREL; SHELL MAROC; ORANGE MAROC; SAHAM; MANAGEM,7961931.67; 7389404.67; 8406102.59; 6120541.18; 6626275.89; 8527055.27; 7791154.39; 8447213.84,SHELL MAROC,6626275.89 DH,7658709.94 DH,-0.0705,90,Gré à gré,Prix seul,8,Non,5,12,95,Attribué,Non applicable,79; 60; 76; 69; 74; 77; 80,228965747; 332823764; 284986375; 14849246; 15931924; 124406765; 192678277; 317625930,14; 14; 23; 14; 17; 24; 17,9; 11; 1; 9; 1; 11; 2,Moyenne,"Normes ISO 9001, Technologies innovantes",Khouribga; Casablanca; Settat; Casablanca; Marrakech; Tanger; Marrakech; Settat,ETI; Grande entreprise; ETI; Grande entreprise; ETI; PME; PME; Moyenne entreprise,"Inflation: 3.0%, Croissance: 4.3%","Technique: 43%, Prix: 57%",Derniers 12 mois: 20 AO similaires,Taux d'annulation secteur: 13%
419,Appel d'offre pour agriculture à El Jadida,Marché public concernant le secteur agriculture pour Ministère de la Justice,Services,Agriculture,Ministère de la Justice,Maroc,Casablanca-Settat,El Jadida,2025-07-13,2025-09-03,2025-09-15,12707948 DH,VINCI; CHINA RAILWAY; CISCO MAROC; TOTAL MAROC; ORANGE MAROC,10528224.54; 11595141.92; 12680399.45; 10560009.1; 13560226.39,TOTAL MAROC,10560009.1 DH,11784800.28 DH,-0.169,348,Procédure négociée,Critères multiples,5,Non,15,16,81,Annulé,Absence d'offres,61; 70; 61; 76,218863084; 26999619; 45245576; 102718918; 356497306,16; 13; 8; 23,0; 1; 4; 8,Élevée,"Normes ISO 9001, Technologies éprouvées",Tétouan; Nador; El Jadida; Meknès; Kenitra,PME; Grande entreprise; Grande entreprise; ETI; Moyenne entreprise,"Inflation: 2.0%, Croissance: 4.2%","Technique: 59%, Prix: 41%",Derniers 12 mois: 30 AO similaires,Taux d'annulation secteur: 7%
420,Appel d'offre pour maintenance à Settat,Marché public concernant le secteur maintenance pour Barid Al-Maghrib,Travaux,Maintenance,Barid Al-Maghrib,Maroc,Rabat-Salé-Kénitra,Settat,2025-07-13,2025-08-20,2025-08-23,3599897 DH,CIMAR; DELTA HOLDING; SUEZ,4190307.37; 3665410.84; 3976466.47,DELTA HOLDING,3665410.84 DH,3944061.56 DH,0.0182,30,Appel d'offres restreint,Rapport qualité-prix,3,Non,5,24,90,Annulé,Spécifications techniques inadéquates,63; 75,459876454; 108751923; 284645316,11; 15,8; 10,Très élevée,"Normes ISO 9001, Technologies éprouvées",Oujda; Agadir; Agadir,PME; Moyenne entreprise; PME,"Inflation: 1.5%, Croissance: 2.1%","Technique: 78%, Prix: 22%",Derniers 12 mois: 12 AO similaires,Taux d'annulation secteur: 6%
421,Appel d'offre pour fournitures scolaires à Beni Mellal,Marché public concernant le secteur fournitures scolaires pour Office National des Aéroports,Services,Fournitures scolaires,Office National des Aéroports,Maroc,Fès-Meknès,Beni Mellal,2025-07-13,2025-08-26,2025-09-05,15811644 DH,ATLAS HOSPITALITY; TRAVOCÉAN; BMCE; ORANGE MAROC; AFRIQUIA; INGEMA; SOMAGEC; MAROC TELECOM,17487769.04; 18941835.69; 15109685.97; 15006309.58; 18339243.06; 15775124.71; 16484198.36; 18008791.78,BMCE,15109685.97 DH,16894119.77 DH,-0.0444,109,Appel d'offres ouvert,Prix seul,8,Oui,4,15,95,Attribué,Non applicable,83; 97; 90; 69; 91; 63; 66,423748517; 39573375; 136963286; 138484489; 19823838; 116628217; 226593150; 485774454,19; 17; 14; 24; 14; 14; 13,4; 10; 2; 9; 13; 14; 11,Moyenne,"Normes ISO 45001, Technologies certifiées",Casablanca; Khouribga; Casablanca; Meknès; Rabat; Mohammedia; Casablanca; Oujda,PME; Grande entreprise; ETI; Moyenne entreprise; Grande entreprise; Moyenne entreprise; Moyenne entreprise; Grande entreprise,"Inflation: 2.9%, Croissance: 4.3%","Technique: 66%, Prix: 34%",Derniers 12 mois: 10 AO similaires,Taux d'annulation secteur: 10%
422,Appel d'offre pour informatique à Fès,Marché public concernant le secteur informatique pour Ministère de l'Intérieur,Services,Informatique,Ministère de l'Intérieur,Maroc,Guelmim-Oued Noun,Fès,2025-07-13,2025-08-25,2025-08-28,10859176 DH,MAJOREL; MAROC TELECOM; DELTA HOLDING; TECHNO PARK; SUEZ,12295243.14; 11374216.73; 12249322.99; 9041749.95; 12152225.0,TECHNO PARK,9041749.95 DH,11422551.56 DH,-0.1674,159,Appel d'offres ouvert,Meilleure offre économiquement,5,Oui,6,10,95,Annulé,Budget insuffisant,98; 100; 62; 92,148558767; 329960786; 357585374; 158367912; 158634855,25; 11; 10; 3,5; 2; 6; 12,Moyenne,"Normes ISO 27001, Technologies innovantes",Meknès; Meknès; Berrechid; Meknès; Tétouan,PME; Grande entreprise; Grande entreprise; Grande entreprise; Grande entreprise,"Inflation: 2.4%, Croissance: 2.1%","Technique: 48%, Prix: 52%",Derniers 12 mois: 22 AO similaires,Taux d'annulation secteur: 17%
423,Appel d'offre pour transport à Agadir,Marché public concernant le secteur transport pour Ministère de la Santé,Fournitures,Transport,Ministère de la Santé,Maroc,Souss-Massa,Agadir,2025-07-13,2025-09-08,2025-09-16,5145994 DH,REDAL; SOGEC; SGTM; MANAGEM; CHINA RAILWAY; IBM MAROC; AMENDIS,5588561.92; 4584055.96; 6081964.46; 5699469.13; 5313447.36; 4660874.48; 4277268.34,AMENDIS,4277268.34 DH,5172234.52 DH,-0.1688,242,Appel d'offres restreint,Critères multiples,7,Oui,12,4,89,Attribué,Non applicable,77; 90; 78; 74; 80; 60,194240602; 417618900; 351923531; 288417104; 177983196; 292282055; 222495498,19; 17; 21; 23; 22; 20,1; 8; 4; 1; 6; 15,Moyenne,"Normes ISO 22000, Technologies éprouvées",Mohammedia; Beni Mellal; Settat; Berrechid; Casablanca; Khouribga; Oujda,Moyenne entreprise; ETI; ETI; ETI; PME; Grande entreprise; PME,"Inflation: 3.1%, Croissance: 5.0%","Technique: 48%, Prix: 52%",Derniers 12 mois: 20 AO similaires,Taux d'annulation secteur: 12%
424,Appel d'offre pour agriculture à Tanger,Marché public concernant le secteur agriculture pour Ministère de la Justice,Services,Agriculture,Ministère de la Justice,Maroc,Dakhla-Oued Ed-Dahab,Tanger,2025-07-13,2025-08-17,2025-08-27,34111117 DH,AFRIQUIA; CISCO MAROC; VEOLIA,40684985.24; 27869712.66; 31671909.08,CISCO MAROC,27869712.66 DH,33408868.99 DH,-0.183,85,Procédure négociée,Rapport qualité-prix,3,Oui,10,16,75,Attribué,Non applicable,93; 69,83724099; 426397545; 24528067,9; 4,9; 2,Élevée,"Normes ISO 27001, Technologies avancées",Salé; Beni Mellal; Marrakech,Moyenne entreprise; Moyenne entreprise; ETI,"Inflation: 2.6%, Croissance: 3.8%","Technique: 58%, Prix: 42%",Derniers 12 mois: 43 AO similaires,Taux d'annulation secteur: 6%
425,Appel d'offre pour fournitures scolaires à Marrakech,Marché public concernant le secteur fournitures scolaires pour Caisse de Dépôt et de Gestion,Fournitures,Fournitures scolaires,Caisse de Dépôt et de Gestion,Maroc,Casablanca-Settat,Marrakech,2025-07-13,2025-08-03,2025-08-09,36136795 DH,WAFA; BOUYGUES; HOLCIM; MICROSOFT MAROC; CHINA RAILWAY; EIFFAGE; TECHNO PARK,39732951.71; 40224292.83; 40972886.5; 36856396.24; 36159014.11; 43148077.63; 39238554.68,TECHNO PARK,39238554.68 DH,39476024.81 DH,0.0858,208,Gré à gré,Rapport qualité-prix,7,Non,2,17,88,Annulé,Non-conformité des offres,61; 74; 68; 64; 80; 72,150272581; 42529170; 127882694; 301111104; 205628390; 259623418; 275376973,4; 4; 5; 6; 15; 24,14; 12; 15; 14; 14; 6,Élevée,"Normes ISO 22000, Technologies éprouvées",Khouribga; Berrechid; Khouribga; Fès; Agadir; Berrechid; Khouribga,ETI; ETI; PME; PME; Grande entreprise; ETI; ETI,"Inflation: 3.0%, Croissance: 4.5%","Technique: 70%, Prix: 30%",Derniers 12 mois: 7 AO similaires,Taux d'annulation secteur: 6%
426,Appel d'offre pour agriculture à Safi,Marché public concernant le secteur agriculture pour Ministère de l'Équipement,Services,Agriculture,Ministère de l'Équipement,Maroc,Dakhla-Oued Ed-Dahab,Safi,2025-07-13,2025-09-07,2025-09-22,44920712 DH,EIFFAGE; MAROC TELECOM; SOGEA; MAGHREB STEEL; LAFARGE,53707980.2; 44722550.25; 45189816.74; 49097557.31; 48895944.16,MAGHREB STEEL,49097557.31 DH,48322769.73 DH,0.093,189,Appel d'offres ouvert,Rapport qualité-prix,5,Oui,3,22,97,Sans suite,Budget insuffisant,80; 82; 73; 64,162752087; 153845692; 39652070; 122805299; 282589257,4; 24; 17; 14,10; 9; 15; 13,Faible,"Normes ISO 14001, Technologies avancées",Oujda; Kenitra; Temara; Casablanca; Mohammedia,ETI; Moyenne entreprise; ETI; Moyenne entreprise; PME,"Inflation: 3.4%, Croissance: 3.5%","Technique: 47%, Prix: 53%",Derniers 12 mois: 35 AO similaires,Taux d'annulation secteur: 17%
427,Appel d'offre pour environnement à Marrakech,Marché public concernant le secteur environnement pour Office de la Formation Professionnelle,Services,Environnement,Office de la Formation Professionnelle,Maroc,Béni Mellal-Khénifra,Marrakech,2025-07-13,2025-08-04,2025-08-10,11406606 DH,INWI; Novec; ATLAS HOSPITALITY; CIMAR,10447052.31; 12936320.88; 10489538.46; 10653501.97,ATLAS HOSPITALITY,10489538.46 DH,11131603.41 DH,-0.0804,140,Concours,Meilleure offre économiquement,4,Oui,8,5,84,Attribué,Non applicable,64; 70; 74,290028578; 207132461; 147866712; 173527645,14; 16; 13,3; 6; 2,Faible,"Normes ISO 27001, Technologies certifiées",Marrakech; Mohammedia; Oujda; Khouribga,Grande entreprise; Grande entreprise; PME; PME,"Inflation: 1.4%, Croissance: 2.3%","Technique: 76%, Prix: 24%",Derniers 12 mois: 40 AO similaires,Taux d'annulation secteur: 12%
428,Appel d'offre pour informatique à Salé,Marché public concernant le secteur informatique pour Ministère de l'Intérieur,Fournitures,Informatique,Ministère de l'Intérieur,Maroc,Souss-Massa,Salé,2025-07-13,2025-08-20,2025-09-01,24377756 DH,SUEZ; ORANGE MAROC; CHINA RAILWAY; IBM MAROC; CISCO MAROC; VEOLIA; LAFARGE; MAJOREL,26449015.37; 27381651.51; 19799425.72; 21269343.66; 26326035.96; 21029329.5; 28755735.89; 27700938.44,CHINA RAILWAY,19799425.72 DH,24838934.51 DH,-0.1878,274,Gré à gré,Meilleure offre économiquement,8,Non,4,5,93,Sans suite,Spécifications techniques inadéquates,91; 95; 68; 95; 68; 86; 97,125585271; 298784598; 410925937; 145010436; 403098824; 34912988; 399379441; 74550187,20; 18; 5; 22; 21; 4; 11,2; 3; 9; 9; 15; 15; 13,Moyenne,"Normes ISO 9001, Technologies innovantes",Meknès; Tanger; Meknès; Tanger; Meknès; Tétouan; Fès; Tanger,PME; ETI; Grande entreprise; PME; Moyenne entreprise; PME; Grande entreprise; Grande entreprise,"Inflation: 1.4%, Croissance: 2.6%","Technique: 67%, Prix: 33%",Derniers 12 mois: 37 AO similaires,Taux d'annulation secteur: 7%
429,Appel d'offre pour conseil à Kenitra,Marché public concernant le secteur conseil pour Agence Nationale de la Conservation Foncière,Fournitures,Conseil,Agence Nationale de la Conservation Foncière,Maroc,Casablanca-Settat,Kenitra,2025-07-13,2025-09-11,2025-09-21,30461944 DH,OCP; ATTIJARI; SOGEC; ORANGE MAROC; TRAVOCÉAN; EIFFAGE; REDAL; MAROC TELECOM,26670584.42; 30320752.2; 35712284.88; 25901860.26; 28460426.34; 28168259.32; 31190402.61; 30175943.21,OCP,26670584.42 DH,29575064.15 DH,-0.1245,78,Concours,Meilleure offre économiquement,8,Non,9,14,93,Attribué,Non applicable,97; 90; 62; 74; 67; 67; 92,418953167; 82039660; 353536734; 401766077; 86206113; 375710351; 94283331; 143068160,6; 23; 6; 17; 9; 8; 23,1; 13; 9; 5; 15; 1; 14,Moyenne,"Normes ISO 27001, Technologies modernes",Salé; Casablanca; Beni Mellal; Berrechid; Temara; Kenitra; Oujda; Tanger,Moyenne entreprise; ETI; ETI; ETI; PME; Moyenne entreprise; Grande entreprise; ETI,"Inflation: 2.2%, Croissance: 3.3%","Technique: 44%, Prix: 56%",Derniers 12 mois: 27 AO similaires,Taux d'annulation secteur: 11%
430,Appel d'offre pour télécommunications à Berrechid,Marché public concernant le secteur télécommunications pour Office National des Aéroports,Services,Télécommunications,Office National des Aéroports,Maroc,Guelmim-Oued Noun,Berrechid,2025-07-13,2025-09-05,2025-09-20,36088248 DH,SUEZ; BMCE; SOGEC; VINCI; ATTIJARI,32627333.82; 28910267.21; 40665297.49; 41237729.39; 29316993.02,BMCE,28910267.21 DH,34551524.19 DH,-0.1989,136,Concours,Prix seul,5,Non,15,8,89,Annulé,Non-conformité des offres,89; 77; 66; 80,390495988; 63256953; 258949079; 50974346; 44175696,15; 18; 10; 6,3; 7; 13; 13,Très élevée,"Normes ISO 14001, Technologies modernes",Tétouan; Temara; Tanger; Khouribga; Temara,Moyenne entreprise; Grande entreprise; ETI; Grande entreprise; Grande entreprise,"Inflation: 1.1%, Croissance: 4.1%","Technique: 67%, Prix: 33%",Derniers 12 mois: 6 AO similaires,Taux d'annulation secteur: 16%
431,Appel d'offre pour médical à Tanger,Marché public concernant le secteur médical pour Barid Al-Maghrib,Fournitures,Médical,Barid Al-Maghrib,Maroc,Casablanca-Settat,Tanger,2025-07-13,2025-08-22,2025-09-01,11260720 DH,SOMAGEC; DELL MAROC; ATTIJARI,13081905.99; 12953947.93; 12757587.66,SOMAGEC,13081905.99 DH,12931147.19 DH,0.1617,32,Concours,Prix seul,3,Oui,2,24,99,Attribué,Non applicable,73; 94,383473004; 39466971; 54273882,24; 12,6; 10,Moyenne,"Normes ISO 27001, Technologies certifiées",Meknès; Safi; Oujda,Moyenne entreprise; Grande entreprise; Moyenne entreprise,"Inflation: 2.8%, Croissance: 4.3%","Technique: 44%, Prix: 56%",Derniers 12 mois: 15 AO similaires,Taux d'annulation secteur: 17%
432,Appel d'offre pour médical à Meknès,Marché public concernant le secteur médical pour Office National des Hydrocarbures,Fournitures,Médical,Office National des Hydrocarbures,Maroc,Fès-Meknès,Meknès,2025-07-13,2025-09-11,2025-09-17,39530925 DH,ATTIJARI; HOLCIM; VINCI; INWI,34064116.61; 46335279.36; 41595157.61; 34992645.61,ATTIJARI,34064116.61 DH,39246799.80 DH,-0.1383,306,Concours,Prix seul,4,Oui,9,20,85,Attribué,Non applicable,67; 86; 62,416694398; 379053356; 466924545; 348053524,16; 12; 20,14; 7; 7,Faible,"Normes ISO 27001, Technologies avancées",Khouribga; Casablanca; Temara; Safi,PME; Moyenne entreprise; ETI; PME,"Inflation: 1.9%, Croissance: 3.7%","Technique: 43%, Prix: 57%",Derniers 12 mois: 11 AO similaires,Taux d'annulation secteur: 5%
433,Appel d'offre pour télécommunications à Tanger,Marché public concernant le secteur télécommunications pour Ministère de l'Équipement,Services,Télécommunications,Ministère de l'Équipement,Maroc,Laâyoune-Sakia El Hamra,Tanger,2025-07-13,2025-08-23,2025-08-27,31471551 DH,TECHNO PARK; SOGEA; AMENDIS; OCP; REDAL; ORANGE MAROC,25903418.88; 31369517.28; 36345137.02; 29673947.96; 25922074.71; 34170985.75,ORANGE MAROC,34170985.75 DH,30564180.27 DH,0.0858,34,Appel d'offres ouvert,Critères multiples,6,Non,7,4,95,Attribué,Non applicable,68; 77; 96; 71; 66,213839396; 419849408; 385306076; 474238926; 301352922; 161855300,15; 4; 10; 10; 23,0; 5; 7; 6; 7,Faible,"Normes ISO 22000, Technologies innovantes",Temara; Tanger; Meknès; El Jadida; Safi; Nador,Grande entreprise; PME; Grande entreprise; ETI; Grande entreprise; PME,"Inflation: 2.5%, Croissance: 2.3%","Technique: 46%, Prix: 54%",Derniers 12 mois: 28 AO similaires,Taux d'annulation secteur: 19%
434,Appel d'offre pour conseil à Safi,Marché public concernant le secteur conseil pour Ministère de la Santé,Fournitures,Conseil,Ministère de la Santé,Maroc,Casablanca-Settat,Safi,2025-07-13,2025-08-28,2025-09-11,20301769 DH,MAJOREL; LYDEC; SOGEC; VEOLIA; DELL MAROC,16256898.0; 16726970.58; 20012259.14; 20856072.13; 21963988.71,LYDEC,16726970.58 DH,19163237.71 DH,-0.1761,314,Gré à gré,Meilleure offre économiquement,5,Oui,2,13,94,Sans suite,Changement de priorités,71; 68; 84; 61,329083351; 148632679; 239754072; 34023022; 231986594,8; 22; 7; 10,2; 14; 11; 14,Très élevée,"Normes ISO 27001, Technologies certifiées",Temara; Beni Mellal; Casablanca; Marrakech; Agadir,Moyenne entreprise; Moyenne entreprise; Moyenne entreprise; Moyenne entreprise; PME,"Inflation: 3.2%, Croissance: 4.7%","Technique: 59%, Prix: 41%",Derniers 12 mois: 27 AO similaires,Taux d'annulation secteur: 20%
435,Appel d'offre pour télécommunications à Kenitra,Marché public concernant le secteur télécommunications pour Royal Air Maroc,Travaux,Télécommunications,Royal Air Maroc,Maroc,Guelmim-Oued Noun,Kenitra,2025-07-13,2025-08-22,2025-09-02,40315969 DH,MICROSOFT MAROC; SUEZ; REDAL; ATTIJARI; DELTA HOLDING; CISCO MAROC; ORANGE MAROC,33721421.51; 35353806.07; 35720844.39; 41654618.37; 36622418.87; 43845551.88; 35428761.54,ORANGE MAROC,35428761.54 DH,37478203.23 DH,-0.1212,181,Gré à gré,Prix seul,7,Oui,12,6,91,Annulé,Absence d'offres,87; 78; 72; 90; 87; 69,35606751; 208000621; 338592658; 93582064; 264278619; 293626109; 153266112,19; 9; 25; 13; 14; 6,7; 1; 7; 15; 15; 7,Moyenne,"Normes ISO 14001, Technologies éprouvées",Safi; Safi; Temara; Salé; Agadir; Nador; El Jadida,Grande entreprise; Moyenne entreprise; Grande entreprise; PME; Moyenne entreprise; ETI; Moyenne entreprise,"Inflation: 2.5%, Croissance: 2.8%","Technique: 60%, Prix: 40%",Derniers 12 mois: 39 AO similaires,Taux d'annulation secteur: 19%
436,Appel d'offre pour informatique à Beni Mellal,Marché public concernant le secteur informatique pour Ministère de l'Agriculture,Services,Informatique,Ministère de l'Agriculture,Maroc,Guelmim-Oued Noun,Beni Mellal,2025-07-13,2025-08-20,2025-09-03,30669174 DH,SOREAD; COVEC; IBM MAROC; LYDEC; TECHNO PARK; MICROSOFT MAROC; CIMAR,25835441.18; 27778397.53; 34839689.71; 31402653.47; 27825309.62; 29624952.8; 31280071.17,COVEC,27778397.53 DH,29798073.64 DH,-0.0943,221,Appel d'offres ouvert,Prix seul,7,Oui,1,4,100,Annulé,Contraintes réglementaires,60; 89; 90; 88; 84; 85,493672468; 255136396; 75129301; 44358498; 218479393; 112478214; 216829827,3; 4; 10; 25; 5; 14,7; 14; 12; 14; 1; 13,Faible,"Normes ISO 22000, Technologies avancées",Nador; Safi; Meknès; Berrechid; Nador; Meknès; Tanger,Moyenne entreprise; ETI; PME; Moyenne entreprise; Grande entreprise; Moyenne entreprise; PME,"Inflation: 1.7%, Croissance: 4.6%","Technique: 59%, Prix: 41%",Derniers 12 mois: 40 AO similaires,Taux d'annulation secteur: 16%
437,Appel d'offre pour télécommunications à Khouribga,Marché public concernant le secteur télécommunications pour Caisse de Dépôt et de Gestion,Travaux,Télécommunications,Caisse de Dépôt et de Gestion,Maroc,Oriental,Khouribga,2025-07-13,2025-08-09,2025-08-22,9652859 DH,CDG; SOGEA; EIFFAGE; VEOLIA; SUEZ; REDAL; OCP; TECHNO PARK,9039818.52; 11255028.27; 10126626.64; 8573842.19; 9959873.1; 9066579.39; 11300070.57; 8347825.85,VEOLIA,8573842.19 DH,9708708.07 DH,-0.1118,307,Appel d'offres restreint,Prix seul,8,Non,7,8,97,Attribué,Non applicable,74; 83; 92; 72; 90; 95; 62,50371970; 183543191; 215621662; 311041483; 210916442; 92579174; 113003588; 286988664,4; 24; 4; 7; 5; 10; 11,15; 12; 7; 0; 5; 6; 5,Élevée,"Normes ISO 22000, Technologies certifiées",Settat; Temara; Kenitra; Rabat; Mohammedia; Kenitra; Nador; Tétouan,Grande entreprise; Moyenne entreprise; Moyenne entreprise; Moyenne entreprise; PME; PME; Moyenne entreprise; Moyenne entreprise,"Inflation: 2.8%, Croissance: 4.1%","Technique: 56%, Prix: 44%",Derniers 12 mois: 35 AO similaires,Taux d'annulation secteur: 20%
438,Appel d'offre pour formation à Khouribga,Marché public concernant le secteur formation pour Ministère de la Justice,Services,Formation,Ministère de la Justice,Maroc,Rabat-Salé-Kénitra,Khouribga,2025-07-13,2025-08-29,2025-09-07,49211927 DH,DELTA HOLDING; SHELL MAROC; TGCC; REDAL; MICROSOFT MAROC; CDG; HOLCIM,49845800.26; 47464209.59; 43426902.71; 41172100.67; 46920739.31; 55778564.67; 54361777.86,REDAL,41172100.67 DH,48424299.30 DH,-0.1634,70,Gré à gré,Meilleure offre économiquement,7,Non,7,9,92,Annulé,Contraintes réglementaires,99; 86; 95; 91; 75; 92,248732227; 454719572; 53797940; 467813167; 306682615; 290322810; 476738802,22; 16; 16; 8; 18; 10,4; 12; 4; 5; 2; 15,Moyenne,"Normes ISO 45001, Technologies certifiées",Tétouan; Rabat; Agadir; Casablanca; Fès; Fès; Temara,PME; ETI; Moyenne entreprise; PME; ETI; Grande entreprise; Grande entreprise,"Inflation: 2.5%, Croissance: 3.4%","Technique: 74%, Prix: 26%",Derniers 12 mois: 48 AO similaires,Taux d'annulation secteur: 17%
439,Appel d'offre pour sécurité à Berrechid,Marché public concernant le secteur sécurité pour Office National des Aéroports,Travaux,Sécurité,Office National des Aéroports,Maroc,Dakhla-Oued Ed-Dahab,Berrechid,2025-07-13,2025-08-12,2025-08-26,11670304 DH,TGCC; SUEZ; AFRIQUIA,12019197.63; 12305335.46; 10318101.9,AFRIQUIA,10318101.9 DH,11547545.00 DH,-0.1159,135,Procédure négociée,Prix seul,3,Oui,4,5,88,Attribué,Non applicable,62; 83,127059655; 140194789; 310181469,4; 15,10; 5,Faible,"Normes ISO 14001, Technologies certifiées",Agadir; Kenitra; Safi,Grande entreprise; ETI; PME,"Inflation: 3.2%, Croissance: 2.7%","Technique: 68%, Prix: 32%",Derniers 12 mois: 29 AO similaires,Taux d'annulation secteur: 17%
440,Appel d'offre pour médical à Temara,Marché public concernant le secteur médical pour Office National de Sécurité Sanitaire,Services,Médical,Office National de Sécurité Sanitaire,Maroc,Béni Mellal-Khénifra,Temara,2025-07-13,2025-09-07,2025-09-17,49580185 DH,SAHAM; ORANGE MAROC; COVEC; CAPGEMINI MAROC; AMENDIS; TGCC; VINCI; EIFFAGE,59259255.95; 55434203.58; 43745620.84; 58540387.76; 48041499.78; 52367646.57; 40287816.71; 43037874.36,COVEC,43745620.84 DH,50089288.19 DH,-0.1177,162,Appel d'offres ouvert,Critères multiples,8,Oui,8,8,87,Sans suite,Offres trop élevées,77; 96; 99; 77; 83; 73; 81,481377774; 28536146; 41462083; 397558580; 128851806; 215098813; 29659981; 482410277,9; 3; 5; 17; 10; 17; 20,8; 15; 1; 8; 13; 1; 5,Élevée,"Normes ISO 9001, Technologies innovantes",Khouribga; Salé; Tanger; Agadir; Kenitra; Oujda; Temara; Settat,Moyenne entreprise; Moyenne entreprise; PME; Grande entreprise; Moyenne entreprise; Moyenne entreprise; ETI; ETI,"Inflation: 1.8%, Croissance: 3.5%","Technique: 57%, Prix: 43%",Derniers 12 mois: 32 AO similaires,Taux d'annulation secteur: 17%
