reference,objet_marche,budget,date_publication,maitre_ouvrage_nom,maitre_ouvrage_adresse,maitre_ouvrage_telephone,maitre_ouvrage_fax,delai_execution_total,delai_execution_phase1,delai_execution_phase2,documents_administratif,documents_technique,documents_financier,conditions_participation,chef_mission_diplome,chef_mission_experience,chef_mission_competences,expert_exploitation_diplome,expert_exploitation_experience,expert_exploitation_competences,expert_maintenance_diplome,expert_maintenance_experience,expert_maintenance_competences,note_technique,note_financiere,note_minimale,ponderation_technique,ponderation_financiere,mode_soumission_electronique,support_portail
AO-2025-1693,Services de sécurité et gardiennage,15 820 414 DH,2025-07-20,Office National de l'Électricité et de l'Eau Potable,"rue Renaud, Tanger",+33 (0)2 34 12 05 60,0246926909,241 jours,43 jours,198 jours,Attestation fiscale; Certificat de qualification et classification; Registre de commerce,Références similaires; Attestations de formation; Planning d'exécution; Certificats de conformité; Note technique détaillée,Bilan des 3 dernières années; Devis quantitatif et estimatif; Acte d'engagement,Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié,Diplôme d'ingénieur,15 ans,Normes ISO; Expertise sectorielle; Gestion de projet; Management d'équipe; Contrôle qualité,Master en management,18 ans,Management d'équipe; Planification; Normes ISO; Gestion de projet; Formation,Diplôme d'ingénieur,20 ans,Gestion de projet; Expertise sectorielle; Audit technique; Management d'équipe,68%,32%,60%,68%,32%,True,www.marchespublics.gov.ma
AO-2025-6264,Étude technique pour l'aménagement urbain,12 413 520 DH,2025-07-18,Office National des Aéroports,"2, rue de Tanguy, Rabat",+33 3 56 41 14 51,+33 (0)4 26 73 69 12,282 jours,111 jours,171 jours,Certificat de qualification et classification; Attestation fiscale; Registre de commerce; Attestation CNSS; Procuration (si applicable),Note technique détaillée; Planning d'exécution; Attestations de formation,Attestation bancaire; Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années; Acte d'engagement,Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié,Master en management,14 ans,Audit technique; Management d'équipe; Normes ISO; Gestion de projet,Ingénieur d'État,10 ans,Normes ISO; Management d'équipe; Expertise sectorielle; Contrôle qualité,MBA,14 ans,Expertise sectorielle; Contrôle qualité; Planification,74%,26%,60%,74%,26%,True,www.marchespublics.gov.ma
AO-2025-5483,Fourniture de produits pharmaceutiques,17 107 602 DH,2025-08-11,Office National des Chemins de Fer,"2, rue Lopez, Mohammedia",+33 (0)3 82 77 10 42,+33 2 97 41 59 04,272 jours,132 jours,140 jours,Registre de commerce; Procuration (si applicable); Attestation fiscale,Certificats de conformité; Note technique détaillée; Attestations de formation,Bilan des 3 dernières années; Acte d'engagement; Devis quantitatif et estimatif; Chiffre d'affaires des 3 dernières années,Justifier d'une expérience de 5 ans minimum; Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales,Master en management,5 ans,Contrôle qualité; Normes ISO; Management d'équipe; Planification; Gestion de projet,MBA,11 ans,Normes ISO; Contrôle qualité; Analyse technique; Formation; Expertise sectorielle,Master en management,7 ans,Normes ISO; Planification; Gestion de projet; Expertise sectorielle; Audit technique,73%,27%,60%,73%,27%,True,www.marchespublics.gov.ma
AO-2025-9171,Travaux de rénovation de bâtiments,17 781 153 DH,2025-07-13,Agence Nationale de la Conservation Foncière,"3, boulevard Matthieu Lesage, Safi",+33 6 30 91 36 90,+33 (0)1 73 62 40 92,173 jours,32 jours,141 jours,Procuration (si applicable); Attestation fiscale; Attestation CNSS; Registre de commerce; Certificat de qualification et classification,CV des intervenants; Attestations de formation; Références similaires; Note technique détaillée,Attestation bancaire; Devis quantitatif et estimatif; Chiffre d'affaires des 3 dernières années; Bordereau des prix unitaires,Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales,Master en management,9 ans,Analyse technique; Planification; Gestion de projet; Normes ISO,Master spécialisé,11 ans,Audit technique; Analyse technique; Management d'équipe; Gestion de projet; Normes ISO,Master en management,6 ans,Formation; Management d'équipe; Audit technique,61%,39%,60%,61%,39%,True,www.marchespublics.gov.ma
AO-2025-7121,Fourniture de mobilier de bureau,38 116 961 DH,2025-07-29,Barid Al-Maghrib,"8, boulevard Bodin, Beni Mellal",+33 4 77 21 07 21,+33 3 62 09 78 65,295 jours,28 jours,267 jours,Procuration (si applicable); Attestation CNSS; Attestation fiscale,Références similaires; Note technique détaillée; Planning d'exécution; Attestations de formation; Certificats de conformité,Attestation bancaire; Bordereau des prix unitaires; Devis quantitatif et estimatif,Disposer d'un personnel qualifié; Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH,Diplôme d'ingénieur,8 ans,Management d'équipe; Audit technique; Planification,Diplôme d'ingénieur,8 ans,Analyse technique; Normes ISO; Management d'équipe; Gestion de projet; Expertise sectorielle,MBA,11 ans,Management d'équipe; Normes ISO; Gestion de projet; Planification; Audit technique,71%,29%,60%,71%,29%,True,www.marchespublics.gov.ma
AO-2025-2403,Services de sécurité et gardiennage,10 112 649 DH,2025-07-25,Office National des Chemins de Fer,"913, boulevard Véronique Dupré, Safi",+33 (0)3 56 92 68 20,03 21 99 64 80,197 jours,74 jours,123 jours,Certificat de qualification et classification; Procuration (si applicable); Attestation CNSS; Attestation fiscale; Caution provisoire,Planning d'exécution; Note technique détaillée; Références similaires; CV des intervenants,Bordereau des prix unitaires; Devis quantitatif et estimatif; Acte d'engagement; Attestation bancaire,Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié; Justifier d'une expérience de 5 ans minimum; Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce,Master en management,8 ans,Expertise sectorielle; Management d'équipe; Normes ISO; Audit technique; Planification,Master en management,11 ans,Audit technique; Management d'équipe; Planification; Expertise sectorielle,Master en management,8 ans,Gestion de projet; Audit technique; Expertise sectorielle; Contrôle qualité,66%,34%,60%,66%,34%,True,www.marchespublics.gov.ma
AO-2025-4702,Fourniture de véhicules administratifs,28 075 875 DH,2025-08-02,Office National des Chemins de Fer,"rue Alexandre, Safi",0322380727,01 42 23 26 36,229 jours,88 jours,141 jours,Registre de commerce; Certificat de qualification et classification; Attestation CNSS; Caution provisoire; Attestation fiscale,Note technique détaillée; Références similaires; CV des intervenants; Certificats de conformité,Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif; Bordereau des prix unitaires,Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce; Fournir une caution provisoire de 2% du montant estimé,Ingénieur d'État,20 ans,Gestion de projet; Formation; Analyse technique; Management d'équipe,Master spécialisé,20 ans,Gestion de projet; Analyse technique; Formation; Audit technique; Contrôle qualité,Master en management,8 ans,Normes ISO; Contrôle qualité; Gestion de projet,80%,20%,60%,80%,20%,True,www.marchespublics.gov.ma
AO-2025-5231,Services de sécurité et gardiennage,15 481 649 DH,2025-07-17,Caisse Nationale de Sécurité Sociale,"chemin Céline Leclerc, Fès",01 39 67 13 34,05 54 37 38 14,176 jours,67 jours,109 jours,Procuration (si applicable); Attestation fiscale; Certificat de qualification et classification,Certificats de conformité; Note technique détaillée; Planning d'exécution,Acte d'engagement; Attestation bancaire; Bilan des 3 dernières années; Chiffre d'affaires des 3 dernières années,Disposer d'un personnel qualifié; Être inscrit au registre de commerce; Justifier d'une expérience de 5 ans minimum; Être en règle avec les obligations fiscales; Fournir une caution provisoire de 2% du montant estimé,Doctorat,5 ans,Gestion de projet; Formation; Analyse technique; Expertise sectorielle; Audit technique,Master en management,5 ans,Analyse technique; Audit technique; Management d'équipe,Master en management,10 ans,Analyse technique; Gestion de projet; Formation; Contrôle qualité; Expertise sectorielle,74%,26%,60%,74%,26%,True,www.marchespublics.gov.ma
AO-2025-4689,Fourniture et installation de matériel informatique,22 312 653 DH,2025-07-16,Caisse Nationale de Sécurité Sociale,"57, avenue de Ribeiro, Nador",+33 (0)4 93 00 85 06,0634937105,292 jours,84 jours,208 jours,Certificat de qualification et classification; Caution provisoire; Procuration (si applicable); Attestation CNSS,Certificats de conformité; Note technique détaillée; Attestations de formation,Devis quantitatif et estimatif; Attestation bancaire; Chiffre d'affaires des 3 dernières années,Justifier d'une expérience de 5 ans minimum; Fournir une caution provisoire de 2% du montant estimé; Disposer d'un personnel qualifié; Être inscrit au registre de commerce; Être en règle avec les obligations fiscales,MBA,11 ans,Analyse technique; Formation; Audit technique; Contrôle qualité,Doctorat,12 ans,Audit technique; Normes ISO; Planification,Ingénieur d'État,17 ans,Analyse technique; Normes ISO; Gestion de projet; Formation; Audit technique,65%,35%,60%,65%,35%,True,www.marchespublics.gov.ma
AO-2025-1436,Prestation de services de nettoyage,47 174 824 DH,2025-07-13,Office National des Aéroports,"38, rue Mendès, Casablanca",0516875912,+33 (0)3 76 33 00 85,157 jours,27 jours,130 jours,Certificat de qualification et classification; Attestation CNSS; Caution provisoire,Certificats de conformité; Planning d'exécution; Références similaires; CV des intervenants,Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années; Bordereau des prix unitaires; Attestation bancaire,Justifier d'une expérience de 5 ans minimum; Fournir une caution provisoire de 2% du montant estimé; Disposer d'un personnel qualifié,Diplôme d'ingénieur,10 ans,Audit technique; Analyse technique; Expertise sectorielle,Master en management,18 ans,Gestion de projet; Formation; Analyse technique; Normes ISO; Contrôle qualité,Ingénieur d'État,20 ans,Contrôle qualité; Audit technique; Normes ISO; Formation; Expertise sectorielle,65%,35%,60%,65%,35%,True,www.marchespublics.gov.ma
AO-2025-8655,Services de sécurité et gardiennage,21 969 301 DH,2025-07-26,Ministère de l'Éducation,"323, chemin Pinto, Safi",0160698020,+33 (0)3 69 47 65 65,241 jours,60 jours,181 jours,Caution provisoire; Registre de commerce; Procuration (si applicable); Attestation CNSS; Certificat de qualification et classification,Attestations de formation; Planning d'exécution; Note technique détaillée,Devis quantitatif et estimatif; Bilan des 3 dernières années; Bordereau des prix unitaires,Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH; Être en règle avec les obligations fiscales; Disposer d'un personnel qualifié,Master spécialisé,10 ans,Gestion de projet; Contrôle qualité; Audit technique; Formation; Expertise sectorielle,Ingénieur d'État,15 ans,Audit technique; Planification; Formation; Analyse technique,Ingénieur d'État,16 ans,Audit technique; Management d'équipe; Formation; Analyse technique,64%,36%,60%,64%,36%,True,www.marchespublics.gov.ma
AO-2025-3355,Fourniture et installation de matériel informatique,21 243 427 DH,2025-07-14,Agence Nationale de la Conservation Foncière,"avenue René Marchal, Casablanca",0238131476,+33 3 53 23 21 13,183 jours,53 jours,130 jours,Procuration (si applicable); Certificat de qualification et classification; Registre de commerce; Attestation CNSS; Caution provisoire,CV des intervenants; Planning d'exécution; Attestations de formation; Note technique détaillée; Certificats de conformité,Acte d'engagement; Bilan des 3 dernières années; Devis quantitatif et estimatif; Attestation bancaire,Être inscrit au registre de commerce; Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé,Master spécialisé,19 ans,Expertise sectorielle; Analyse technique; Formation; Normes ISO; Gestion de projet,Diplôme d'ingénieur,19 ans,Contrôle qualité; Formation; Audit technique; Planification; Normes ISO,Doctorat,14 ans,Management d'équipe; Analyse technique; Formation,72%,28%,60%,72%,28%,True,www.marchespublics.gov.ma
AO-2025-7746,Maintenance des équipements électriques,34 127 576 DH,2025-07-17,Royal Air Maroc,"boulevard Émile Renault, Rabat",0556678369,+33 (0)3 59 52 19 58,189 jours,59 jours,130 jours,Caution provisoire; Attestation CNSS; Attestation fiscale; Procuration (si applicable),Certificats de conformité; Note technique détaillée; Attestations de formation,Bilan des 3 dernières années; Devis quantitatif et estimatif; Acte d'engagement,Fournir une caution provisoire de 2% du montant estimé; Disposer d'un personnel qualifié; Justifier d'une expérience de 5 ans minimum; Être en règle avec les obligations fiscales; Être inscrit au registre de commerce,Master spécialisé,14 ans,Gestion de projet; Audit technique; Normes ISO; Management d'équipe; Expertise sectorielle,MBA,20 ans,Planification; Expertise sectorielle; Formation,Doctorat,5 ans,Expertise sectorielle; Formation; Analyse technique,67%,33%,60%,67%,33%,True,www.marchespublics.gov.ma
AO-2025-1230,Prestation de services de nettoyage,13 866 331 DH,2025-07-23,Barid Al-Maghrib,"815, rue de Legros, Fès",+33 1 78 72 68 04,+33 2 35 55 40 32,306 jours,105 jours,201 jours,Procuration (si applicable); Certificat de qualification et classification; Registre de commerce,Certificats de conformité; CV des intervenants; Attestations de formation; Note technique détaillée; Références similaires,Attestation bancaire; Chiffre d'affaires des 3 dernières années; Bordereau des prix unitaires,Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé; Disposer d'un personnel qualifié; Justifier d'une expérience de 5 ans minimum,Master en management,12 ans,Analyse technique; Normes ISO; Formation; Gestion de projet; Expertise sectorielle,Doctorat,7 ans,Planification; Normes ISO; Management d'équipe; Formation,Master en management,8 ans,Analyse technique; Formation; Contrôle qualité,65%,35%,60%,65%,35%,True,www.marchespublics.gov.ma
AO-2025-1432,Fourniture de véhicules administratifs,22 817 839 DH,2025-08-05,Office National des Aéroports,"64, chemin de Vallée, Beni Mellal",+33 5 34 28 46 60,+33 (0)6 34 51 11 69,99 jours,47 jours,52 jours,Certificat de qualification et classification; Attestation CNSS; Caution provisoire; Procuration (si applicable),Planning d'exécution; Attestations de formation; Certificats de conformité; CV des intervenants; Références similaires,Devis quantitatif et estimatif; Bilan des 3 dernières années; Attestation bancaire; Acte d'engagement,Être inscrit au registre de commerce; Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH,MBA,14 ans,Analyse technique; Gestion de projet; Contrôle qualité; Normes ISO; Formation,Master en management,19 ans,Planification; Gestion de projet; Contrôle qualité; Expertise sectorielle,MBA,16 ans,Analyse technique; Normes ISO; Contrôle qualité,73%,27%,60%,73%,27%,True,www.marchespublics.gov.ma
AO-2025-6264,Fourniture de véhicules administratifs,9 490 400 DH,2025-07-25,Royal Air Maroc,"30, avenue Masson, Mohammedia",05 54 63 26 41,01 40 51 61 40,220 jours,103 jours,117 jours,Procuration (si applicable); Attestation fiscale; Caution provisoire; Attestation CNSS; Registre de commerce,Planning d'exécution; Références similaires; CV des intervenants; Certificats de conformité,Bilan des 3 dernières années; Devis quantitatif et estimatif; Attestation bancaire; Bordereau des prix unitaires,Être inscrit au registre de commerce; Disposer d'un personnel qualifié; Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum,MBA,18 ans,Audit technique; Formation; Expertise sectorielle,Doctorat,11 ans,Analyse technique; Gestion de projet; Management d'équipe; Formation,Ingénieur d'État,12 ans,Audit technique; Expertise sectorielle; Contrôle qualité; Planification,75%,25%,60%,75%,25%,True,www.marchespublics.gov.ma
AO-2025-5595,Prestation de services de nettoyage,14 509 145 DH,2025-07-23,Office National de l'Électricité et de l'Eau Potable,"70, rue de Bonnet, Rabat",+33 1 75 80 72 30,0563234184,148 jours,74 jours,74 jours,Attestation CNSS; Procuration (si applicable); Registre de commerce; Certificat de qualification et classification,Note technique détaillée; Certificats de conformité; Attestations de formation; Références similaires,Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années,Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce; Justifier d'une expérience de 5 ans minimum; Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH,Master spécialisé,8 ans,Audit technique; Analyse technique; Gestion de projet,Master spécialisé,8 ans,Normes ISO; Formation; Gestion de projet; Audit technique,Diplôme d'ingénieur,6 ans,Management d'équipe; Formation; Normes ISO; Analyse technique; Expertise sectorielle,61%,39%,60%,61%,39%,True,www.marchespublics.gov.ma
AO-2025-4199,Travaux de rénovation de bâtiments,45 549 477 DH,2025-07-25,Office National des Chemins de Fer,"380, rue de Guibert, Tétouan",+33 (0)5 32 79 19 65,+33 4 44 23 79 17,178 jours,57 jours,121 jours,Procuration (si applicable); Caution provisoire; Certificat de qualification et classification,CV des intervenants; Note technique détaillée; Certificats de conformité; Références similaires,Bilan des 3 dernières années; Attestation bancaire; Bordereau des prix unitaires,Être en règle avec les obligations fiscales; Être inscrit au registre de commerce; Fournir une caution provisoire de 2% du montant estimé; Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié,Diplôme d'ingénieur,13 ans,Management d'équipe; Contrôle qualité; Gestion de projet; Planification; Expertise sectorielle,MBA,6 ans,Planification; Gestion de projet; Analyse technique,Master spécialisé,14 ans,Audit technique; Normes ISO; Formation; Contrôle qualité; Management d'équipe,78%,22%,60%,78%,22%,True,www.marchespublics.gov.ma
AO-2025-1762,Fourniture et installation de matériel informatique,25 638 892 DH,2025-08-02,Ministère de l'Intérieur,"2, chemin de Laporte, Beni Mellal",06 55 34 19 45,+33 (0)1 70 13 25 63,250 jours,119 jours,131 jours,Registre de commerce; Certificat de qualification et classification; Attestation fiscale; Caution provisoire,Note technique détaillée; Références similaires; Certificats de conformité; CV des intervenants; Attestations de formation,Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années; Bordereau des prix unitaires; Devis quantitatif et estimatif,Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH; Être en règle avec les obligations fiscales; Disposer d'un personnel qualifié,Diplôme d'ingénieur,9 ans,Expertise sectorielle; Contrôle qualité; Audit technique; Management d'équipe; Gestion de projet,Master spécialisé,13 ans,Management d'équipe; Audit technique; Normes ISO; Contrôle qualité,Diplôme d'ingénieur,5 ans,Planification; Expertise sectorielle; Analyse technique,80%,20%,60%,80%,20%,True,www.marchespublics.gov.ma
